id_match,formations,score,goals,goals_past,total_shots,shots_on_target,shots_off_target,blocked_shots,total_possession,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dribbles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,clearances,interceptions,corners,win,draw,lose
223,4-1-4-1,1-Jan,1,1,13,7,4,2,54.1,410,341,83,10,15,10,14,67,13,50,16,10,10,42,24,21,2,8,0,1,0
223,4/4/2002,1-Jan,1,1,9,4,3,2,45.9,352,289,82,7,14,14,10,100,13,50,10,16,12,55,22,29,7,5,0,1,0
224,4-2-3-1,0 - 2,2,0,9,2,4,3,47.1,322,254,79,7,14,9,7,64,14,48,16,13,14,67,21,16,8,3,1,0,0
224,4-2-3-1,0 - 2,0,2,14,3,7,4,52.9,368,292,79,7,17,7,9,41,15,52,13,16,18,67,27,17,13,4,0,0,1
225,3-4-1-2,1-Jan,1,1,17,8,6,3,62.1,571,484,85,13,19,12,5,63,20,50,22,18,16,76,21,18,6,7,0,1,0
225,4-1-4-1,1-Jan,1,1,6,2,3,1,37.9,345,250,72,4,13,5,12,38,20,50,18,22,13,52,25,23,10,7,0,1,0
226,4-1-4-1,2-Feb,2,2,11,7,3,1,61.9,595,536,90,9,30,18,4,60,9,43,9,12,10,71,14,23,6,8,0,1,0
226,4-2-3-1,2-Feb,2,2,15,5,8,2,38.1,349,289,83,10,9,4,18,44,12,57,12,9,13,42,31,20,10,6,0,1,0
227,3-4-1-2,0 - 3,0,3,14,4,7,3,67.8,466,409,88,11,10,5,12,50,15,56,18,9,14,54,26,12,6,10,0,0,1
227,4-2-3-1,0 - 3,3,0,6,5,1,0,32.2,219,155,71,3,16,12,5,75,12,44,9,18,11,69,16,31,10,4,1,0,0
228,4-2-3-1,2-Jan,1,2,22,7,12,3,65,520,454,87,18,30,21,13,70,11,44,10,15,15,54,28,8,3,11,0,0,1
228,4-1-4-1,2-Jan,2,1,9,6,3,0,35,293,225,77,6,18,13,21,72,14,56,15,10,14,40,35,38,11,2,1,0,0
